INDEP,DEP
1.22,0.11
1.23,0.13
1.24,0.15
1.25,0.18
1.26,0.20
1.27,0.23
1.28,0.27
1.29,0.31
1.30,0.35
1.31,0.40
1.32,0.46
1.33,0.52
1.34,0.59
1.35,0.66
1.36,0.74
1.37,0.82
1.38,0.92
1.39,1.02
1.40,1.14
1.41,1.27
1.42,1.41
1.43,1.57
1.44,1.71
1.45,1.86
1.46,2.02
1.47,2.19
1.48,2.37
1.49,2.57
1.50,2.78
1.51,3.01
1.52,3.26
1.53,3.52
1.54,3.74
1.55,3.97
1.56,4.20
1.57,4.45
1.58,4.72
1.59,4.99
1.60,5.24
1.61,5.50
1.62,5.76
1.63,6.04
1.64,6.33
1.65,6.63
1.66,6.91
1.67,7.20
1.68,7.51
1.69,7.82
1.70,8.14
1.71,8.48
1.72,8.82
1.73,9.18
1.74,9.55
1.75,9.93
1.76,10.33
1.77,10.72
1.78,11.13
1.79,11.54
1.80,11.97
1.81,12.42
1.82,12.87
1.83,13.34
1.84,13.83
1.85,14.33
1.86,14.84
1.87,15.37
1.88,15.92
1.89,16.48
1.90,17.00
1.91,17.52
1.92,18.05
1.93,18.60
1.94,19.16
1.95,19.73
1.96,20.32
1.97,20.93
1.98,21.54
1.99,22.18
2.00,22.82
2.01,23.49
2.02,24.16
2.03,24.86
2.04,25.57
2.05,26.30
2.06,27.04
2.07,27.80
2.08,28.55
2.09,29.31
2.10,30.08
2.11,30.88
2.12,31.68
2.13,32.51
2.14,33.35
2.15,34.21
2.16,35.09
2.17,35.99
2.18,36.88
2.19,37.79
2.20,38.71
2.21,39.65
2.22,40.61
2.23,41.59
2.24,42.59
2.25,43.61
2.26,44.64
2.27,45.70
2.28,46.78
2.29,47.87
2.30,48.99
2.31,50.13
2.32,51.29
2.33,52.47
2.34,53.67
2.35,54.90
2.36,56.15
2.37,57.42
2.38,58.71
2.39,60.03
2.40,61.31
2.41,62.62
2.42,63.94
2.43,65.29
2.44,66.66
2.45,68.05
2.46,69.46
2.47,70.90
2.48,72.36
2.49,73.85
2.50,75.36
2.51,76.90
2.52,78.46
2.53,80.04
2.54,81.65
2.55,83.29
2.56,84.95
2.57,86.64
2.58,88.35
2.59,90.09
2.60,91.86
2.61,93.17
2.62,94.44
2.63,95.72
2.64,97.01
2.65,98.32
2.66,99.64
2.67,100.97
2.68,102.31
2.69,103.67
2.70,105.04
2.71,106.42
2.72,107.81
2.73,109.22
2.74,110.64
2.75,112.07
2.76,113.52
2.77,114.98
2.78,116.45
2.79,117.93
2.80,119.43
2.81,120.95
2.82,122.47
2.83,124.01
2.84,125.57
2.85,127.14
2.86,128.72
2.87,130.31
2.88,131.92
2.89,133.55
2.90,135.18
2.91,136.83
2.92,138.50
2.93,140.18
2.94,141.75
2.95,143.33
2.96,144.91
2.97,146.50
2.98,148.11
2.99,149.73
3.00,151.36
3.01,153.01
3.02,154.66
3.03,156.33
3.04,158.01
3.05,159.70
3.06,161.41
3.07,163.12
3.08,164.85
3.09,166.60
3.10,168.35
3.11,170.12
3.12,171.90
3.13,173.69
3.14,175.50
3.15,177.32
3.16,179.15
3.17,180.99
3.18,182.85
3.19,184.72
3.20,186.60
3.21,188.50
3.22,190.41
3.23,192.33
3.24,194.27
3.25,196.22
3.26,198.18
3.27,200.16
3.28,202.15
3.29,204.15
3.30,206.17
3.31,208.20
3.32,210.24
3.33,212.30
3.34,214.37
3.35,216.46
3.36,218.56
3.37,220.67
3.38,222.80
3.39,224.94
3.40,227.10
3.41,229.26
3.42,231.45
3.43,233.65
3.44,235.86
3.45,238.00
3.46,240.14
3.47,242.30
3.48,244.47
3.49,246.66
3.50,248.85
3.51,251.15
3.52,253.47
3.53,255.80
3.54,258.14
3.55,260.50
3.56,262.87
3.57,265.25
3.58,267.66
3.59,270.07
3.60,272.50
3.61,274.94
3.62,277.40
3.63,279.88
3.64,282.37
3.65,284.87
3.66,287.39
3.67,289.92
3.68,292.47
3.69,295.03
3.70,297.61
3.71,300.20
3.72,302.81
3.73,305.44
3.74,308.08
3.75,310.73
3.76,313.40
3.77,316.08
3.78,318.78
3.79,321.50
3.80,324.23
3.81,326.98
3.82,329.74
3.83,332.52
3.84,335.31
3.85,338.12
3.86,340.94
3.87,343.79
3.88,346.64
3.89,349.52
3.90,352.40
3.91,355.31
3.92,358.23
3.93,361.17
3.94,364.12
3.95,367.09
3.96,369.70
3.97,372.20
3.98,374.70
3.99,377.22
4.00,379.74
4.01,382.28
4.02,384.83
4.03,387.38
4.04,389.95
4.05,392.53
4.06,395.11
4.07,397.71
4.08,400.32
4.09,402.94
4.10,405.57
4.11,408.20
4.12,410.85
4.13,413.51
4.14,416.18
4.15,418.86
4.16,421.56
4.17,424.26
4.18,426.97
4.19,429.69
4.20,432.42
4.21,435.17
4.22,437.92
4.23,440.69
4.24,443.46
4.25,446.25
4.26,449.04
4.27,451.85
4.28,454.67
4.29,457.49
4.30,460.33
4.31,463.18
4.32,466.04
4.33,468.91
4.34,471.79
4.35,474.68
4.36,477.59
4.37,480.50
4.38,483.42
4.39,486.36
4.40,489.31
4.41,492.26
4.42,495.23
4.43,498.21
4.44,501.19
4.45,504.19
4.46,507.20
4.47,510.23
4.48,513.26
4.49,516.30
4.50,519.36
4.51,522.42
4.52,525.50
4.53,528.58
4.54,531.68
4.55,534.79
4.56,537.91
4.57,541.04
4.58,544.18
4.59,547.33
4.60,550.50
4.61,553.67
4.62,556.86
4.63,560.05
4.64,563.26
4.65,566.48
4.66,569.71
4.67,572.95
4.68,576.20
4.69,579.47
4.70,582.74
4.71,586.03
4.72,589.33
4.73,592.63
4.74,595.95
4.75,599.29
4.76,602.63
4.77,605.98
4.78,609.35
4.79,612.72
4.80,616.11
4.81,619.51
4.82,622.92
4.83,626.34
4.84,629.77
4.85,633.21
4.86,636.67
4.87,640.14
4.88,643.61
4.89,647.10
4.90,650.60
4.91,654.12
4.92,657.64
4.93,661.18
4.94,664.72
4.95,668.28
4.96,671.85
4.97,675.37
4.98,678.88
4.99,682.40
5.00,685.94
5.01,689.35
5.02,692.76
5.03,696.19
5.04,699.63
5.05,703.08
5.06,706.54
5.07,710.00
5.08,713.48
5.09,716.97
5.10,720.47
5.11,723.98
5.12,727.50
5.13,731.02
5.14,734.56
5.15,738.11
