INDEP,DEP
0.11,0.00
0.12,0.01
0.13,0.03
0.14,0.04
0.15,0.06
0.16,0.07
0.17,0.09
0.18,0.10
0.19,0.12
0.20,0.13
0.21,0.15
0.22,0.16
0.23,0.18
0.24,0.20
0.25,0.22
0.26,0.25
0.27,0.27
0.28,0.30
0.29,0.32
0.30,0.35
0.31,0.38
0.32,0.41
0.33,0.44
0.34,0.47
0.35,0.50
0.36,0.54
0.37,0.57
0.38,0.61
0.39,0.65
0.40,0.69
0.41,0.73
0.42,0.77
0.43,0.81
0.44,0.85
0.45,0.90
0.46,0.94
0.47,0.99
0.48,1.03
0.49,1.08
0.50,1.13
0.51,1.18
0.52,1.23
0.53,1.29
0.54,1.34
0.55,1.40
0.56,1.46
0.57,1.52
0.58,1.58
0.59,1.64
0.60,1.71
0.61,1.77
0.62,1.84
0.63,1.91
0.64,1.99
0.65,2.06
0.66,2.14
0.67,2.22
0.68,2.30
0.69,2.38
0.70,2.47
0.71,2.56
0.72,2.64
0.73,2.73
0.74,2.82
0.75,2.92
0.76,3.01
0.77,3.11
0.78,3.21
0.79,3.31
0.80,3.41
0.81,3.53
0.82,3.65
0.83,3.77
0.84,3.89
0.85,4.02
0.86,4.15
0.87,4.28
0.88,4.41
0.89,4.55
0.90,4.69
0.91,4.84
0.92,4.99
0.93,5.14
0.94,5.30
0.95,5.46
0.96,5.62
0.97,5.78
0.98,5.95
0.99,6.13
1.00,6.30
1.01,6.51
1.02,6.72
1.03,6.94
1.04,7.16
1.05,7.39
1.06,7.62
1.07,7.86
1.08,8.10
1.09,8.35
1.10,8.60
1.11,8.86
1.12,9.12
1.13,9.46
1.14,9.80
1.15,10.16
1.16,10.52
1.17,10.89
1.18,11.28
1.19,11.67
1.20,12.08
1.21,12.49
1.22,12.92
1.23,13.35
1.24,13.80
1.25,14.23
1.26,14.66
1.27,15.11
1.28,15.56
1.29,16.03
1.30,16.50
1.31,16.98
1.32,17.47
1.33,17.98
1.34,18.49
1.35,19.01
1.36,19.55
1.37,20.10
1.38,20.65
1.39,21.22
1.40,21.80
1.41,22.33
1.42,22.87
1.43,23.41
1.44,23.97
1.45,24.53
1.46,25.11
1.47,25.69
1.48,26.28
1.49,26.89
1.50,27.50
1.51,28.16
1.52,28.82
1.53,29.50
1.54,30.19
1.55,30.89
1.56,31.60
1.57,32.33
1.58,33.06
1.59,33.81
1.60,34.57
1.61,35.34
1.62,36.13
1.63,36.92
