[USGS-raw_LOC],SHEF_LOC,DSS_A-PART,DSS_B-PART,DSS_F-PART,DSS_SUB-LOCATIONS,DSS_SUB-PARAMETERS,CWMS_LOC,CWMS_VER,CWMS_SUB-LOCATIONS,CWMS_SUB-PARAMETERS,PARAMETERS
[03328500],Adamsboro,UPPER WABASH,Adamsboro,USGS-raw,,,Adamsboro,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03323000],Bluffton,UPPER WABASH,Bluffton,USGS-raw,,,Bluffton,USGS-raw,,,"Flow,Stage,Precip"
[03333050],Delphi,UPPER WABASH,Delphi,USGS-raw,,,Delphi,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03324500],Dora,UPPER WABASH,Dora,USGS-raw,,,Dora,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03323500],Huntington,UPPER WABASH,Huntington,USGS-raw,,,Huntington,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03323450],JERoush-Lake,UPPER WABASH,JERoush-Lake,USGS-raw,,,JERoush-Lake,USGS-raw,,,"Res Elevation,Stage,Precip"
[03335000],Lafayette-WildcatCr,UPPER WABASH,Lafayette-WildcatCr,USGS-raw,,,Lafayette-WildcatCr,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03322900],LinnGrove,UPPER WABASH,LinnGrove,USGS-raw,,,LinnGrove,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03324000],LittleRiver,UPPER WABASH,LittleRiver,USGS-raw,,,LittleRiver,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03329000],Logansport,UPPER WABASH,Logansport,USGS-raw,,,Logansport,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03326500],Marion,UPPER WABASH,Marion,USGS-raw,,,Marion,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03326950],Mississinewa-Lake,UPPER WABASH,Mississinewa-Lake,USGS-raw,,,Mississinewa-Lake,USGS-raw,,,Res Elevation
[03377500],MtCarmel,UPPER WABASH,MtCarmel,USGS-raw,,,MtCarmel,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03327000],PeoriaIN,UPPER WABASH,PeoriaIN,USGS-raw,,,PeoriaIN,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03327500],Peru,UPPER WABASH,Peru,USGS-raw,,,Peru,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03324450],Salamonie-Lake,UPPER WABASH,Salamonie-Lake,USGS-raw,,,Salamonie-Lake,USGS-raw,,,"Res Elevation,Stage,Precip"
[03325000],Wabash,UPPER WABASH,Wabash,USGS-raw,,,Wabash,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03324300],Warren,UPPER WABASH,Warren,USGS-raw,,,Warren,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
