[USGS_LOC],SHEF_LOC,DSS_A-PART,DSS_B-PART,DSS_F-PART,PARAMETERS
[03228805],AFRO1,,AlumCr-Outflow,USGS-raw,"Stage,Flow"
[03232500],BRMO1,,BarrettsMills,USGS-raw,"Stage,Flow"
[03220000],BLPO1,,Bellepoint,USGS-raw,"Stage,Flow"
[03234000],BVLO1,,Bourneville,USGS-raw,"Stage,Flow"
[03232300],CTFO1,,Centerfield,USGS-raw,"Stage,Flow"
[03228500],CSCO1,,CentralCollege,USGS-raw,"Stage,Flow"
[03231500],CHCO1,,Chillicothe,USGS-raw,"Stage,Flow"
[03230700],CRCO1,,Circleville,USGS-raw,"Stage,Flow"
[03223000],CRDO1,,Claridon,USGS-raw,"Stage,Flow"
[03229000],CLMO1,,ColumbusAlumCr,USGS-raw,"Stage,Flow"
[03227500],COLO1,,ColumbusScioto,USGS-raw,"Stage,Flow"
[03230500],DBVO1,,Darbyville,USGS-raw,"Stage,Flow"
[03230900],PCBO1,,DeerCr-Outflow,USGS-raw,"Stage,Flow"
[03225500],DELO1,,Delaware-Outflow,USGS-raw,"Stage,Flow"
[03221000],DUBO1,,Dublin,USGS-raw,"Stage,Flow"
[03232000],GRFO1,,Greenfield,USGS-raw,"Stage,Flow"
[03234500],HIGO1,,Higby,USGS-raw,"Stage,Flow"
[03228750],KLBO1,,Kilbourne,USGS-raw,"Stage,Flow"
[03230800],MSTO1,,MtSterling,USGS-raw,"Stage,Flow"
[03232470],BBRO1,,PaintCr-Outflow,USGS-raw,"Stage,Flow"
[03237020],PKTO1,,Piketon,USGS-raw,"Stage,Flow"
[03219500],PRGO1,,Prospect,USGS-raw,"Stage,Flow"
[03229500],REEO1,,Rees,USGS-raw,"Stage,Flow"
[03230310],WEJO1,,WeJefferson,USGS-raw,"Stage,Flow"
[03231000],WMSO1,,Williamsport,USGS-raw,"Stage,Flow"
[03226800],WRTO1,,Worthington,USGS-raw,"Stage,Flow"
