[USGS-raw_LOC],SHEF_LOC,DSS_A-PART,DSS_B-PART,DSS_F-PART,DSS_SUB-LOCATIONS,DSS_SUB-PARAMETERS,CWMS_LOC,CWMS_VER,CWMS_SUB-LOCATIONS,CWMS_SUB-PARAMETERS,PARAMETERS
[03282290],CollegeHill,Kentucky,CollegeHill,USGS-raw,,,CollegeHill,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03281100],Manchester,Kentucky,Manchester,USGS-raw,,,Manchester,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03282120],Irvine,Kentucky,Irvine,USGS-raw,,,Irvine,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03282060],Willow,Kentucky,Willow,USGS-raw,,,Willow,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03284230],ValleyView,Kentucky,ValleyView,USGS-raw,,,ValleyView,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03284500],CampNelson,Kentucky,CampNelson,USGS-raw,,,CampNelson,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03286200],DixDam,Kentucky,DixDam,USGS-raw,,,DixDam,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03289500],Elkhorn,Kentucky,Elkhorn,USGS-raw,,,Elkhorn,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03281500],Booneville,KENTUCKY,Booneville,USGS-raw,,,Booneville,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03249498],CaveRun-Lake,KENTUCKY,CaveRun-Lake,USGS-raw,,,CaveRun-Lake,USGS-raw,,,"Res Elevation,Stage,Precip"
[03284000],Ford,KENTUCKY,Ford,USGS-raw,,,Ford,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03287500],Frankfort,KENTUCKY,Frankfort,USGS-raw,,,Frankfort,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03290080],Gest,KENTUCKY,Gest,USGS-raw,,,Gest,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03277500],Hazard,KENTUCKY,Hazard,USGS-raw,,,Hazard,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03282000],Heidelberg,KENTUCKY,Heidelberg,USGS-raw,,,Heidelberg,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03280000],Jackson,KENTUCKY,Jackson,USGS-raw,,,Jackson,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03290500],Lockport,KENTUCKY,Lockport,USGS-raw,,,Lockport,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03287000],Salvisa,KENTUCKY,Salvisa,USGS-raw,,,Salvisa,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03277450],Sassafras,KENTUCKY,Sassafras,USGS-raw,,,Sassafras,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03281000],Tallega,KENTUCKY,Tallega,USGS-raw,,,Tallega,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03287250],Tyrone,KENTUCKY,Tyrone,USGS-raw,,,Tyrone,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03277300],Whitesburg,KENTUCKY,Whitesburg,USGS-raw,,,Whitesburg,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03280700],Wooten,KENTUCKY,Wooten,USGS-raw,,,Wooten,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
