[USGS-raw_LOC],SHEF_LOC,DSS_A-PART,DSS_B-PART,DSS_F-PART,DSS_SUB-LOCATIONS,DSS_SUB-PARAMETERS,CWMS_LOC,CWMS_VER,CWMS_SUB-LOCATIONS,CWMS_SUB-PARAMETERS,PARAMETERS
[03341500],TerreHaute,Middle Wabash,TerreHaute,USGS-raw,,,TerreHaute,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03374100],Hazleton,Middle Wabash,Hazleton,USGS-raw,,,Hazleton,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03376300],Winslow,Middle Wabash,Winslow,USGS-raw,,,Winslow,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03360730],Edwardsport,Middle Wabash,Edwardsport,USGS-raw,,,Edwardsport,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03340870],CMHarden-Lake,MIDDLE WABASH,CMHarden-Lake,USGS-raw,,,CMHarden-Lake,USGS-raw,,,"Res Elevation,Stage,Precip"
[03336000],Covington,MIDDLE WABASH,Covington,USGS-raw,,,Covington,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03341300],Coxville,MIDDLE WABASH,Coxville,USGS-raw,,,Coxville,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03339500],Crawfordsville,MIDDLE WABASH,Crawfordsville,USGS-raw,,,Crawfordsville,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03340900],Ferndale,MIDDLE WABASH,Ferndale,USGS-raw,,,Ferndale,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03340800],Fincastle,MIDDLE WABASH,Fincastle,USGS-raw,,,Fincastle,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03335500],Lafayette,MIDDLE WABASH,Lafayette,USGS-raw,,,Lafayette,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03372400],Monroe-Lake,MIDDLE WABASH,Monroe-Lake,USGS-raw,,,Monroe-Lake,USGS-raw,,,"Res Elevation,Flow,Stage,Precip,Water Temp"
[03340500],Montezuma,MIDDLE WABASH,Montezuma,USGS-raw,,,Montezuma,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
