[USGS_LOC],SHEF_LOC,DSS_A-PART,DSS_B-PART,DSS_F-PART,PARAMETERS
[02176930],[02176930],SAVANNAH,[02176930],Raw-USGS_SAS,"Stage, Flow"
[02177000],[02177000],SAVANNAH,[02177000],Raw-USGS_SAS,"Stage, Flow"
[02178400],[02178400],SAVANNAH,[02178400],Raw-USGS_SAS,"Stage, Flow"
[02181580],[02181580],SAVANNAH,[02181580],Raw-USGS_SAS,"Stage, Flow"
[02186000],[02186000],SAVANNAH,[02186000],Raw-USGS_SAS,"Stage, Flow"
[02187010],[02187010],SAVANNAH,[02187010],Raw-USGS_SAS,"Elevation,Stage, Flow"
[02187910],[02187910],SAVANNAH,[02187910],Raw-USGS_SAS,"Stage, Flow"
[02188100],[02188100],SAVANNAH,[02188100],Raw-USGS_SAS,"Elevation,Stage, Flow"
[02188600],[02188600],SAVANNAH,[02188600],Raw-USGS_SAS,"Stage, Flow"
[02192000],[02192000],SAVANNAH,[02192000],Raw-USGS_SAS,"Stage, Flow"
[02192500],[02192500],SAVANNAH,[02192500],Raw-USGS_SAS,"Stage, Flow"
[02193500],[02193500],SAVANNAH,[02193500],Raw-USGS_SAS,"Stage, Flow"
[02193500],[02193500],SAVANNAH,[02193500],Raw-USGS_SAS,"Stage, Flow"
[02193500],[02193500],SAVANNAH,[02193500],Raw-USGS_SAS,"Stage, Flow"
[02193900],[02193900],SAVANNAH,[02193900],Raw-USGS_SAS,"Elevation,Stage, Flow,Dir-Wind,Speed-Wind,Temp-Air,Temp-Water"
[02195320],[02195320],SAVANNAH,[02195320],Raw-USGS_SAS,"Stage, Flow"
[02195520],[02195520],SAVANNAH,[02195520],Raw-USGS_SAS,"Stage, Flow"
[02196000],[02196000],SAVANNAH,[02196000],Raw-USGS_SAS,"Stage, Flow"
[02196670],[02196670],SAVANNAH,[02196670],Raw-USGS_SAS,"Stage, Flow"
[02196690],[02196690],SAVANNAH,[02196690],Raw-USGS_SAS,"Stage, Flow"
[02196999],[02196999],SAVANNAH,[02196690],Raw-USGS_SAS,"Stage, Flow"
[02197000],[02197000],SAVANNAH,[02197000],Raw-USGS_SAS,"Stage, Flow"
[021973269],[021973269],SAVANNAH,[021973269],Raw-USGS_SAS,"Stage, Flow"
[02197500],[02197500],SAVANNAH,[02197500],Raw-USGS_SAS,"Stage, Flow"
[02198375],[02198375],SAVANNAH,[02198375],Raw-USGS_SAS,"Stage, Flow"
[02198500],[02198500],SAVANNAH,[02198500],Raw-USGS_SAS,"Stage, Flow"
